Geographic Area Name,Total Households,Median income,Mean income
51360,3991,65529,84869
55001,1179,114867,171224
55003,1014,92292,108343
55005,1580,99286,111027
55006,1376,56768,74054
55007,954,57500,69017
55008,6147,76133,85907
55009,3277,78697,96279
55011,3817,115617,119621
55012,683,81815,91612
55013,2644,91500,99882
55014,10394,92235,107640
55016,12719,108159,122705
55017,300,65333,79574
55018,381,85903,99086
55019,751,97902,115748
55020,1373,135375,159525
55021,11406,63340,81344
55024,12212,107338,116057
55025,9845,92675,111033
55026,160,93750,135114
55027,981,82171,94314
55029,26,58750,71831
55030,486,60962,77904
55031,651,99028,115867
55032,1283,99438,104457
55033,11427,91376,106084
55036,23,30208,35757
55037,1890,52927,67693
55038,8520,113509,129690
55040,5107,80849,95145
55041,3301,70924,87623
55042,4138,161618,213591
55043,1532,89435,121250
55044,20177,124899,150594
55045,2844,103929,116542
55046,2042,88357,94544
55047,956,98864,165428
55049,918,80000,90776
55051,3795,60194,75897
55052,745,70655,84897
55053,343,84792,98640
55054,795,140579,154381
55055,1706,58455,79061
55056,5229,91229,102695
55057,7818,81097,103983
55060,12016,74049,91562
55063,3799,64207,75958
55065,470,101563,111209
55066,8107,64603,81291
55068,11078,113598,133772
55069,1918,62583,81644
55070,2787,89242,96053
55071,2298,85222,93801
55072,1341,46616,57510
55073,1309,119188,138913
55074,851,96750,105973
55075,8326,71283,79388
55076,9258,86862,100523
55077,5283,92808,140927
55079,3239,94439,106162
55080,1104,90179,109485
55082,13914,105207,140853
55084,686,70000,91481
55085,170,89167,95700
55087,166,111964,106204
55088,604,115833,139450
55089,611,89813,107380
55090,162,60962,65642
55092,4178,86648,105467
55101,4662,66292,91222
55102,10142,64270,88383
55103,5246,41101,59482
55104,18023,65905,89427
55105,11104,100818,152892
55106,18707,56634,71226
55107,5395,59819,85777
55108,6585,78708,105825
55109,12628,70222,89041
55110,15822,89965,114546
55112,17360,82197,103446
55113,18225,78262,105563
55114,1751,63651,83219
55115,3237,123092,176506
55116,12167,70036,108455
55117,16654,62558,82049
55118,12466,72938,106378
55119,15958,66772,86953
55120,2058,97097,135391
55121,3761,69932,91139
55122,13628,83602,107174
55123,10191,123393,158182
55124,21128,91936,114656
55125,17239,106573,132018
55126,11640,101414,128585
55127,7488,108664,151280
55128,11641,77327,94085
55129,9981,136428,168010
55130,5897,45840,61279
55150,58,83750,141012
55301,4436,102270,111961
55302,2854,78522,100730
55303,19090,92205,107932
55304,16651,115111,139766
55305,9979,95701,132244
55306,6166,81818,99078
55307,1262,69464,76379
55308,3198,93917,104919
55309,6920,101917,120241
55310,607,62455,87874
55311,13888,135471,163801
55312,530,78750,84115
55313,9246,82389,109605
55314,421,62708,81224
55315,2219,116319,131159
55316,8725,104200,120301
55317,8057,118598,161604
55318,10940,96502,124891
55319,1903,97660,118212
55320,1927,90550,114666
55321,1856,72402,82714
55322,1403,101607,120851
55324,461,75859,93157
55325,1702,77500,88233
55327,1825,119986,162288
55328,3457,95296,117909
55329,731,73348,83811
55330,15212,98676,110515
55331,7382,144697,217328
55332,765,52292,66253
55333,252,66875,74363
55334,1089,58861,79781
55335,666,46774,70725
55336,3088,66813,82933
55337,18906,77416,94378
55338,428,70417,81742
55339,362,83125,99399
55340,3055,166953,218294
55341,1154,126184,144117
55342,723,58352,79589
55343,12711,71659,94320
55344,6850,80939,109273
55345,8680,120204,148889
55346,6572,123596,148825
55347,11604,148322,189660
55349,1482,84655,93173
55350,7833,66345,91400
55352,3435,103681,118175
55353,1193,87232,95764
55354,990,84881,96432
55355,3940,61367,80846
55356,2171,158137,298967
55357,1124,130871,191209
55358,1939,83583,105185
55359,2400,118571,206292
55360,1102,104365,108482
55362,7250,83714,90658
55363,1876,77609,83704
55364,6242,103714,155408
55366,208,46250,61371
55367,374,73750,89153
55368,737,74907,96403
55369,15340,101162,122853
55370,217,86250,96280
55371,6376,81312,88435
55372,12052,122563,160989
55373,2093,84141,105712
55374,5329,131779,147418
55375,1353,109489,126678
55376,6078,119000,130679
55378,11228,115456,134311
55379,16637,95602,119247
55381,786,71944,85667
55382,1395,82642,106770
55384,1232,47117,82276
55385,470,65455,79878
55386,3143,165591,184483
55387,5166,96210,118156
55388,2132,93145,105406
55389,933,77629,86185
55390,1076,99519,105171
55391,6557,131068,241547
55395,1125,63603,72629
55396,949,62056,78670
55397,1102,80530,90366
55398,5868,98200,110056
55401,7317,106756,156255
55402,415,61360,87286
55403,11021,55520,89763
55404,12410,37029,57243
55405,8047,64504,107446
55406,16397,77888,95346
55407,14981,70125,89555
55408,15990,64911,89090
55409,4821,86061,115558
55410,8389,135260,178170
55411,9979,44096,65163
55412,8907,54594,73113
55413,6951,72354,88510
55414,12403,43001,68136
55415,2593,118079,160189
55416,17390,93875,129390
55417,10820,107586,124070
55418,13878,80600,103236
55419,11270,119639,164666
55420,8917,66370,80835
55421,12249,67955,81253
55422,12332,80400,106048
55423,15679,74415,93614
55424,3735,206038,283922
55425,4191,64205,80495
55426,12014,84911,105784
55427,10686,85042,100149
55428,12983,61980,78687
55429,10251,59120,77759
55430,7796,66038,76149
55431,8297,96486,106271
55432,12667,68480,81370
55433,13643,72999,82144
55434,11832,79855,88832
55435,7536,68511,97114
55436,6034,122500,189796
55437,8536,88186,111829
55438,7293,87737,127781
55439,3476,153843,220105
55441,7832,90456,131380
55442,5534,114630,145744
55443,11900,82290,103816
55444,5448,93759,108266
55445,4496,92478,121157
55446,10088,151194,181733
55447,8857,113640,149206
55448,10750,84572,98637
55449,10836,109228,138878
55454,3520,23634,32258
55601,77,73750,104140
55602,175,43125,70329
55603,193,53281,59943
55604,1631,66014,82258
55605,271,55511,65343
55606,106,57500,81877
55607,83,55521,69158
55609,85,69426,71827
55612,233,75380,97226
55613,118,60625,163075
55614,1112,66364,84260
55615,140,56250,80829
55616,3310,67540,78275
55702,190,65833,72941
55703,348,61818,71295
55704,445,53646,63985
55705,1541,49429,62656
55706,837,46850,58110
55707,1202,74239,83012
55708,328,49531,67353
55709,1641,63016,75214
55710,573,78508,95734
55711,203,51563,66507
55712,271,42371,60252
55713,474,51014,62369
55716,149,32188,47739
55717,125,63125,119633
55718,1168,77083,85533
55719,2368,55172,87562
55720,7025,57640,75095
55721,1358,70482,87655
55722,368,54167,68646
55723,943,61193,75509
55724,379,61979,69848
55725,54,58750,67393
55726,363,66250,74540
55731,2703,54577,68756
55732,668,53036,69403
55733,2042,102346,117859
55734,2756,61264,72214
55735,694,55577,65599
55736,651,50852,59945
55738,232,71000,88101
55741,1430,57917,75007
55742,91,68594,71122
55744,8114,60330,79471
55746,7851,49818,66696
55748,534,50909,60683
55749,240,73125,70788
55750,897,61118,67784
55751,636,77917,78093
55752,178,76250,77299
55753,504,46221,50560
55756,115,62969,86093
55757,287,61250,63732
55758,75,46528,54353
55760,1234,51818,67227
55763,282,65081,72554
55764,221,39107,50249
55765,368,56667,67353
55767,1158,60978,71353
55768,1219,59354,72852
55769,1085,58945,75001
55771,673,58162,76885
55775,594,70811,86223
55779,1460,87700,104206
55780,85,37361,54706
55781,294,66875,94645
55782,240,49583,67738
55783,946,72222,90011
55784,63,44375,47552
55785,121,48875,52775
55786,123,51938,72742
55787,252,57857,70136
55790,863,67446,83957
55792,4791,47102,59194
55793,271,58750,69869
55795,656,62273,80184
55796,65,50208,49328
55797,563,76750,82140
55798,223,74063,99866
55802,1297,40625,66633
55803,7446,91066,105172
55804,6056,93138,118942
55805,4837,38486,55577
55806,4369,38265,53822
55807,4213,49989,66041
55808,2520,48066,64355
55810,3343,71101,84271
55811,10925,71296,96771
55812,3488,54409,89753
55901,22829,79486,98120
55902,11354,105130,162483
55904,11465,67897,85862
55906,7974,96403,126019
55909,521,79250,98230
55910,512,68594,82226
55912,11517,57044,72868
55917,1376,65769,82242
55918,392,70682,79995
55919,454,64615,85806
55920,3095,112841,129022
55921,1987,59621,80682
55922,329,61875,65336
55923,1742,81641,94749
55924,468,72143,90186
55925,418,84063,103004
55926,282,85500,93800
55927,1579,83920,95506
55929,437,95804,97977
55931,168,52500,69718
55932,791,85250,106924
55933,91,58250,78659
55934,1437,76008,91592
55935,391,76250,109089
55936,707,66063,92622
55939,774,65763,75891
55940,1099,72969,87188
55941,485,58229,74541
55943,1194,59271,74401
55944,2867,86250,102782
55945,607,73021,84114
55946,1355,70234,80741
55947,3185,74558,93594
55949,771,66985,79526
55950,53,39464,60592
55951,576,57500,80602
55952,900,86042,106023
55953,343,52188,78473
55954,524,64000,72980
55955,942,115833,135773
55956,866,82353,112732
55957,298,67500,81227
55959,867,58295,69125
55960,1188,107955,136016
55961,183,78542,83209
55962,324,59063,71487
55963,2209,82847,102254
55964,1743,67420,87174
55965,978,56125,76021
55967,352,92813,107040
55968,73,53125,52368
55969,407,81484,91331
55970,397,78125,89972
55971,1114,68561,79236
55972,2013,91715,114378
55973,97,78750,89604
55974,968,54338,66150
55975,1779,70625,83163
55976,3175,84346,93954
55977,67,57813,71213
55979,368,76500,77178
55981,1655,65096,84808
55982,251,128125,229827
55983,699,75085,81189
55985,657,72292,85302
55987,14273,53496,70520
55990,397,69844,80482
55991,603,85917,106481
55992,2334,73056,86387
56001,19459,59759,77315
56003,6307,76484,112864
56007,9011,55450,72822
56009,577,73487,87326
56010,513,66625,77689
56011,3425,91661,104766
56013,2002,53777,72223
56014,282,47500,70187
56016,378,68750,95277
56017,720,85081,100870
56019,344,58333,66841
56020,39,63750,69533
56021,449,83646,104652
56022,40,55000,66090
56023,222,69583,77949
56024,1239,80739,93685
56025,193,75893,85730
56026,762,80313,89613
56027,294,44674,107901
56028,464,84167,94191
56029,270,56875,64245
56030,7,41875,43943
56031,5213,54558,77477
56032,145,54688,57854
56033,160,57955,77733
56034,159,74271,84943
56035,187,56964,83397
56036,756,65625,86033
56037,659,73295,81428
56039,359,74519,89237
56041,423,75208,86311
56042,334,69375,85922
56043,175,72841,75369
56044,774,95104,103579
56045,367,64375,77021
56046,47,68125,70372
56048,1676,72315,84464
56050,525,75139,83053
56051,297,44417,53400
56052,252,82188,102167
56054,361,83750,90540
56055,1600,78636,88733
56056,33,40313,45806
56057,1510,74297,92680
56058,2523,71406,79208
56060,168,58125,68941
56062,1190,65268,85037
56063,1143,101107,125292
56065,994,74917,85549
56068,403,68558,83550
56069,1897,68542,82305
56071,4418,99545,119270
56072,871,67679,75726
56073,7121,64466,80244
56074,692,82188,92049
56075,73,38750,51855
56078,192,65833,83391
56080,280,88250,84206
56081,2443,54976,74056
56082,4683,67772,90260
56083,352,53500,68672
56085,2108,62031,76504
56087,1306,60952,69421
56088,868,63641,72256
56089,98,48750,60592
56090,274,71875,84084
56091,131,47361,65840
56093,5001,66125,84626
56096,1179,80114,83222
56097,1551,53795,65847
56098,831,57153,69297
56101,2499,55240,77000
56110,619,65903,78611
56111,193,72917,110498
56113,96,66250,82150
56114,150,70833,85562
56115,516,61771,76049
56116,223,87813,106175
56117,125,75750,95658
56118,193,79861,90300
56119,330,72292,86778
56120,358,71324,81507
56121,309,42096,52828
56122,218,63750,75554
56123,177,57125,74614
56125,31,60417,67574
56128,771,65662,82186
56129,290,59063,74194
56131,897,71705,77520
56132,231,59821,100439
56134,172,53333,82909
56136,614,50625,78351
56137,430,71250,83069
56138,405,74115,89216
56139,158,49643,69256
56140,37,56797,63254
56141,136,60000,75451
56142,428,56944,64883
56143,2054,63010,82124
56144,466,45962,66641
56145,207,42841,56071
56146,23,55179,52552
56147,77,58750,84827
56149,516,61111,68105
56150,1146,57115,65219
56151,300,74667,90048
56152,558,66346,76326
56153,77,49659,52731
56155,223,52388,73504
56156,2554,69211,84505
56157,288,73030,85218
56158,137,66875,66755
56159,980,56029,68007
56160,102,40000,49815
56161,144,83750,97712
56162,101,71875,75989
56164,2453,61994,78037
56165,125,78125,87894
56166,75,70893,81079
56167,296,57333,78425
56168,303,54712,65459
56169,281,73750,86083
56170,250,55556,64666
56171,738,61071,75076
56172,1295,68631,80453
56173,122,58333,65576
56174,152,56500,66827
56175,1106,62500,77832
56176,418,62344,84362
56178,685,69712,85792
56180,443,58934,74626
56181,516,57000,63975
56183,597,46917,60931
56185,214,51364,71172
56186,158,52000,81528
56187,5032,54821,71666
56201,9184,60074,71283
56207,92,61042,68780
56208,968,47024,67927
56209,913,68583,79657
56210,5,61875,63840
56211,196,72941,81214
56212,203,63750,75193
56214,275,66094,83851
56215,2035,52399,72870
56216,333,65125,71416
56218,214,61250,81051
56219,413,57599,61498
56220,1151,57063,71411
56221,321,66875,74928
56222,842,57400,72330
56223,542,58690,71036
56224,129,54688,79751
56225,299,58125,76020
56226,92,76500,88524
56227,112,83333,90704
56228,383,54844,70076
56229,753,85365,93511
56230,309,53015,71725
56231,144,83750,89411
56232,896,70385,85794
56235,216,71000,79675
56236,156,84500,111128
56237,247,59375,74574
56239,244,78750,92790
56240,341,52679,71874
56241,1597,59594,76297
56243,688,60333,76955
56244,582,76591,124808
56245,222,80568,85535
56248,350,71250,79147
56249,129,62708,102488
56251,363,73015,89393
56252,492,57500,70274
56253,414,63462,75588
56255,174,63654,66286
56256,1085,52670,74391
56257,216,50000,57714
56258,5979,58750,83168
56260,407,64844,75844
56262,308,63611,84318
56263,192,63125,68574
56264,857,66652,78395
56265,3172,60389,75983
56266,573,60536,75114
56267,2679,63979,94415
56270,434,55250,65416
56271,507,62411,72770
56273,1989,81141,93244
56274,78,100714,116367
56276,96,52500,58918
56277,1257,60846,79202
56278,1293,56354,73669
56279,462,71250,89259
56280,218,60909,68410
56281,228,92742,107135
56282,585,64250,78074
56283,2579,59981,72899
56284,751,69519,73881
56285,453,70688,78003
56287,32,50625,57516
56288,1994,96563,120757
56289,305,61583,74708
56291,185,53393,82985
56292,216,70357,80255
56293,478,57016,74455
56294,53,69583,92591
56295,132,55000,60286
56296,843,50224,67486
56297,322,72188,82974
56301,12614,61561,81385
56303,10725,59314,72097
56304,6961,51384,64816
56307,1912,80859,94365
56308,11546,68456,90552
56309,563,65875,76563
56310,1991,95240,99161
56311,307,61750,68937
56312,940,67656,82157
56313,32,45000,49609
56314,467,78750,105673
56315,713,80563,82656
56316,583,62396,79053
56318,432,70000,76898
56319,578,77692,95669
56320,3102,91368,101430
56323,230,68214,72813
56324,468,73214,87620
56325,81,45536,84933
56326,728,73036,82294
56327,345,71964,95768
56328,77,79063,83827
56329,2703,81325,90926
56330,656,68393,81775
56331,771,87604,117579
56332,686,78462,91862
56334,2510,66915,81946
56335,90,71250,67464
56336,647,76908,94182
56338,676,64167,75317
56339,400,50000,65703
56340,926,78864,84394
56342,1218,51757,70856
56343,414,57500,83628
56345,6274,53294,72672
56347,2918,55357,67639
56349,318,86250,91489
56350,200,41250,51080
56352,2458,57188,74674
56353,3619,68378,80241
56354,591,75956,96607
56355,214,72500,79931
56356,97,77656,78206
56357,386,96375,109324
56358,1257,66507,75132
56359,1338,52194,64558
56360,1762,58491,71657
56361,925,67917,78232
56362,2168,69537,95164
56363,85,58281,66464
56364,2099,70645,84470
56367,2598,87258,97370
56368,1646,82733,89478
56369,226,67188,63465
56371,37,53750,56086
56373,1179,72601,85417
56374,3280,77697,97389
56375,337,87596,94433
56376,128,67500,72618
56377,7870,75243,101104
56378,3354,66471,79050
56379,6897,64279,84068
56381,997,71250,85097
56382,534,71250,82329
56384,134,62500,60041
56385,445,51976,69480
56386,308,43750,67647
56387,3515,47816,56884
56389,36,51786,55742
56401,12558,58479,74106
56425,3447,64766,78884
56431,3695,54051,67169
56433,773,47875,61797
56434,71,74583,94821
56435,1198,57800,67980
56437,464,52656,59732
56438,1068,54878,67331
56440,517,49766,55548
56441,1722,41198,65544
56442,1376,67778,106560
56443,626,70000,94938
56444,1341,69258,89013
56446,640,48929,62394
56447,365,51250,72213
56448,218,65000,80114
56449,725,75583,86620
56450,492,54643,64545
56452,934,58846,82210
56453,301,56250,80277
56455,649,56645,69506
56458,148,61250,77965
56461,1306,68269,85548
56464,1672,60403,67069
56465,889,66369,81555
56466,1306,54451,65585
56467,1064,69375,84415
56468,1776,84113,110028
56469,486,56042,62154
56470,4384,61147,74948
56472,3379,64279,81706
56473,1307,69458,81163
56474,1864,46538,66688
56475,641,56307,72157
56477,1136,50948,64306
56479,1832,52167,64086
56481,888,65179,72419
56482,2975,49789,65093
56484,1359,57563,74658
56501,7284,65077,96281
56510,926,58929,74517
56511,798,80000,106725
56514,1414,71500,89832
56515,1243,67566,86983
56516,122,55000,84669
56517,95,93750,106963
56518,152,48571,63019
56519,111,56875,72185
56520,1713,51568,72668
56521,311,60197,76151
56522,175,68750,77647
56523,156,70833,86426
56524,296,61111,86865
56525,32,98750,80859
56527,314,52955,67899
56528,750,67353,81805
56529,1847,71829,100001
56531,788,60543,92009
56533,116,65179,77289
56534,530,76818,107294
56535,516,46607,64782
56536,145,68750,91232
56537,8610,54506,74986
56540,726,64167,75532
56541,27,76250,84293
56542,1042,50543,67846
56543,96,56500,80496
56544,2120,65833,79375
56545,268,67000,84300
56546,93,74844,87980
56547,945,84563,97426
56548,304,50556,73824
56549,1783,88554,104402
56550,141,53750,71500
56551,918,57292,70634
56552,202,53000,72598
56553,122,57011,73715
56554,1096,77500,90628
56556,448,61346,66972
56557,984,44821,63193
56560,17665,64129,78859
56565,38,48000,47163
56566,197,35625,43901
56567,1297,64704,73045
56569,464,50625,72111
56570,465,54861,69581
56571,785,75417,95880
56572,2165,70026,85395
56573,2712,63065,81933
56574,115,73472,83269
56575,272,48125,58369
56576,383,67656,84821
56578,293,88393,108959
56579,393,78750,100372
56580,474,87717,101066
56581,130,49444,56579
56583,67,59453,84491
56584,558,62500,77179
56585,484,50250,65482
56586,813,75625,86128
56587,568,71000,89767
56588,185,58194,73601
56589,692,60313,68788
56590,157,55179,78251
56591,216,17000,28584
56592,157,58750,86789
56594,183,78125,108828
56601,13661,60102,76022
56621,1666,53714,72186
56623,1058,56827,73019
56626,87,46058,55371
56627,136,30833,46879
56628,650,43750,64027
56629,74,71944,82395
56630,851,43322,56692
56633,1556,53988,70687
56634,615,62232,83147
56636,1932,58750,69648
56637,73,88125,79458
56639,207,28875,43116
56641,132,55000,61510
56644,281,49844,59368
56646,155,44583,64939
56647,313,56607,75282
56649,4189,53663,70185
56650,424,72778,70810
56651,191,66750,72687
56652,186,65313,75699
56653,560,58947,70904
56654,38,43333,53374
56655,758,47315,61449
56657,90,63333,66692
56660,119,63125,62175
56661,402,62000,73347
56662,249,55855,69454
56663,84,38409,38279
56666,210,45652,56028
56667,305,78393,90127
56668,95,71442,87158
56669,108,55000,55301
56670,300,41379,64447
56671,831,47098,56032
56672,892,49000,67763
56673,165,54375,57760
56676,714,62614,73665
56678,615,60750,78973
56681,104,46250,55942
56683,253,69688,94966
56684,139,72188,78165
56685,62,75000,73547
56686,337,64861,81127
56701,5562,64211,78423
56710,191,68750,73904
56713,409,75938,82905
56714,467,58472,67606
56715,137,52083,65218
56716,3791,52786,69078
56721,4165,72791,81706
56722,145,71875,91074
56723,313,99688,105596
56724,51,83125,71512
56725,346,56932,77685
56726,601,66319,77917
56727,351,70139,87845
56728,492,66371,79281
56729,48,63750,62144
56731,46,55000,48313
56732,430,55069,63183
56733,164,68750,84937
56734,189,66750,83921
56735,274,59375,72922
56736,326,67273,90592
56737,354,47500,67951
56738,528,64457,82493
56742,311,63750,73003
56744,198,67000,90787
56748,252,74722,82255
56750,1005,61250,76343
56751,2207,70335,81103
56754,224,86786,92197
56755,32,61250,82253
56756,210,69167,76899
56757,355,75341,78632
56758,132,46250,64939
56759,124,77500,85793
56760,189,88482,85395
56761,157,56250,68689
56762,1023,57067,69286
56763,1874,62750,81960
57026,546,70694,81727
57030,1121,73377,92412
57068,609,94028,101336
58030,263,60417,97275
58225,429,71375,80704
